rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
8,SL Malinga (MI),17,17,392,65.2,-,468,20,3/39,3/39,23.40,7.16,19.60,-,MI,Malinga,2013,2013,Lasith Malinga,5.0,2.0,3.0,2.0,Mumbai Indians
9,DW Steyn (SRH),17,17,407,67.5,3,384,19,3/11,3/11,20.21,5.66,21.42,-,SRH,Steyn,2013,2013,Dale Steyn,7.0,4.0,3.0,4.0,Sunrisers Hyderabad
10,KK Cooper (RR),14,14,324,54.0,-,449,19,3/15,3/15,23.63,8.31,17.05,-,RR,Cooper,2013,2013,Kevon Cooper,5.0,2.0,3.0,3.0,Rajasthan Royals
11,NLTC Perera (SRH),16,16,358,59.4,-,478,19,3/20,3/20,25.15,8.01,18.84,-,SRH,Perera,2013,2013,Thisara Perera,6.0,2.0,4.0,4.0,Sunrisers Hyderabad
12,PP Ojha (MI),16,15,314,52.2,-,381,16,3/11,3/11,23.81,7.28,19.62,-,MI,Ojha,2013,2013,Pragyan Ojha,4.0,2.0,2.0,2.0,Mumbai Indians
13,JH Kallis (KKR),16,15,318,53.0,1,394,16,3/13,3/13,24.62,7.43,19.87,-,KKR,Kallis,2013,2013,Jacques Kallis,4.0,3.0,1.0,7.0,Kolkata Knight Riders
14,AB Dinda (PWI),13,13,294,49.0,-,465,16,3/31,3/31,29.06,9.48,18.37,-,PWI,Dinda,2013,2013,Ashok Dinda,4.0,1.0,3.0,8.0,Pune Warriors
15,UT Yadav (DC),16,16,347,57.5,-,508,16,4/24,4/24,31.75,8.78,21.68,1,DC,Yadav,2013,2013,Umesh Yadav,7.0,5.0,2.0,,
1,M Morkel (DC),16,16,378,63.0,1,453,25,4/20,4/20,18.12,7.19,15.12,1,DC,Morkel,2012,2012,Morne Morkel,12.0,5.0,7.0,8.0,Deccan Chargers
2,SP Narine (KKR),15,15,355,59.1,1,324,24,5/19,5/19,13.50,5.47,14.79,1,KKR,Narine,2012,2012,Sunil Narine,13.0,7.0,6.0,2.0,Kolkata Knight Riders
3,SL Malinga (MI),14,14,333,55.3,1,350,22,4/16,4/16,15.90,6.30,15.13,1,MI,Malinga,2012,2012,Lasith Malinga,11.0,4.0,7.0,3.0,Mumbai Indians
4,UT Yadav (DC),17,17,366,61.0,2,453,19,3/19,3/19,23.84,7.42,19.26,-,DC,Yadav,2012,2012,Umesh Yadav,7.0,3.0,4.0,8.0,Deccan Chargers
5,R Vinay Kumar (RCB),15,14,335,55.5,-,480,19,3/22,3/22,25.26,8.59,17.63,-,RCB,Kumar,2012,2012,Vinay Kumar,7.0,3.0,4.0,5.0,Royal Challengers Bangalore
6,DW Steyn (DC),12,12,280,46.4,2,285,18,3/8,3/8,15.83,6.10,15.55,-,DC,Steyn,2012,2012,Dale Steyn,3.0,3.0,0.0,8.0,Deccan Chargers
